product_category_name,product_category_name_english,total
cama_mesa_banho,bed_bath_table,348
beleza_saude,health_beauty,267
informatica_acessorios,computers_accessories,251
moveis_decoracao,furniture_decor,241
utilidades_domesticas,housewares,234
esporte_lazer,sports_leisure,209
brinquedos,toys,141
relogios_presentes,watches_gifts,127
ferramentas_jardim,garden_tools,123
automotivo,auto,102
bebes,baby,98
telefonia,telephony,96
cool_stuff,cool_stuff,90
perfumaria,perfumery,90
papelaria,stationery,73
pet_shop,pet_shop,68
eletronicos,electronics,65
fashion_bolsas_e_acessorios,fashion_bags_accessories,54
other,,54
moveis_escritorio,office_furniture,36
consoles_games,consoles_games,26
construcao_ferramentas_construcao,construction_tools_construction,24
malas_acessorios,luggage_accessories,23
eletrodomesticos,home_appliances,18
casa_construcao,home_construction,18
instrumentos_musicais,musical_instruments,15
eletroportateis,small_appliances,14
casa_conforto,home_confort,14
moveis_sala,furniture_living_room,12
fashion_calcados,fashion_shoes,12
construcao_ferramentas_jardim,costruction_tools_garden,11
livros_interesse_geral,books_general_interest,11
audio,audio,10
alimentos,food,10
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,9
market_place,market_place,8
construcao_ferramentas_seguranca,construction_tools_safety,8
bebidas,drinks,7
eletrodomesticos_2,home_appliances_2,7
sinalizacao_e_seguranca,signaling_and_security,6
artes,art,6
alimentos_bebidas,food_drink,5
agro_industria_e_comercio,agro_industry_and_commerce,4
construcao_ferramentas_iluminacao,construction_tools_lights,4
construcao_ferramentas_ferramentas,costruction_tools_tools,4
climatizacao,air_conditioning,4
fashion_roupa_masculina,fashion_male_clothing,4
livros_tecnicos,books_technical,3
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,2
flores,flowers,2
artigos_de_natal,christmas_supplies,2
dvds_blu_ray,dvds_blu_ray,2
pcs,computers,2
la_cuisine,la_cuisine,2
telefonia_fixa,fixed_telephony,1
artes_e_artesanato,arts_and_craftmanship,1
casa_conforto_2,home_comfort_2,1
portateis_cozinha_e_preparadores_de_alimentos,,1
industria_comercio_e_negocios,industry_commerce_and_business,1
fraldas_higiene,diapers_and_hygiene,1
livros_importados,books_imported,1
musica,music,1
fashion_underwear_e_moda_praia,fashion_underwear_beach,1
moveis_quarto,furniture_bedroom,1
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,1
