product_category_name,product_category_name_english,total
cama_mesa_banho,bed_bath_table,1950
beleza_saude,health_beauty,1716
esporte_lazer,sports_leisure,1355
utilidades_domesticas,housewares,1292
moveis_decoracao,furniture_decor,1237
informatica_acessorios,computers_accessories,1198
relogios_presentes,watches_gifts,826
brinquedos,toys,640
telefonia,telephony,604
automotivo,auto,545
perfumaria,perfumery,538
bebes,baby,470
ferramentas_jardim,garden_tools,464
cool_stuff,cool_stuff,439
papelaria,stationery,374
eletronicos,electronics,354
fashion_bolsas_e_acessorios,fashion_bags_accessories,315
pet_shop,pet_shop,303
other,,281
moveis_escritorio,office_furniture,237
consoles_games,consoles_games,183
construcao_ferramentas_construcao,construction_tools_construction,169
malas_acessorios,luggage_accessories,156
alimentos,food,126
eletrodomesticos,home_appliances,124
eletroportateis,small_appliances,113
instrumentos_musicais,musical_instruments,99
bebidas,drinks,81
casa_conforto,home_confort,80
moveis_sala,furniture_living_room,78
casa_construcao,home_construction,76
livros_interesse_geral,books_general_interest,73
alimentos_bebidas,food_drink,67
audio,audio,64
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,49
agro_industria_e_comercio,agro_industry_and_commerce,45
sinalizacao_e_seguranca,signaling_and_security,43
market_place,market_place,41
livros_tecnicos,books_technical,41
construcao_ferramentas_iluminacao,construction_tools_lights,39
eletrodomesticos_2,home_appliances_2,37
telefonia_fixa,fixed_telephony,36
climatizacao,air_conditioning,35
industria_comercio_e_negocios,industry_commerce_and_business,33
moveis_quarto,furniture_bedroom,32
construcao_ferramentas_jardim,costruction_tools_garden,32
artes,art,31
construcao_ferramentas_seguranca,construction_tools_safety,30
fashion_calcados,fashion_shoes,28
livros_importados,books_imported,21
pcs,computers,19
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,19
fashion_underwear_e_moda_praia,fashion_underwear_beach,19
fashion_roupa_masculina,fashion_male_clothing,19
artigos_de_natal,christmas_supplies,14
cine_foto,cine_photo,14
fashion_roupa_feminina,fashio_female_clothing,13
construcao_ferramentas_ferramentas,costruction_tools_tools,11
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,9
dvds_blu_ray,dvds_blu_ray,9
tablets_impressao_imagem,tablets_printing_image,9
casa_conforto_2,home_comfort_2,8
fraldas_higiene,diapers_and_hygiene,7
flores,flowers,5
musica,music,4
cds_dvds_musicais,cds_dvds_musicals,4
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,4
artigos_de_festas,party_supplies,4
fashion_esporte,fashion_sport,4
la_cuisine,la_cuisine,2
artes_e_artesanato,arts_and_craftmanship,2
portateis_cozinha_e_preparadores_de_alimentos,,1
